Subject,Baseline,FreqAug,GausAug,Mean
1,55.55555555555556,69.09722222222223,65.27777777777777,63.31018518518518
2,36.111111111111114,38.19444444444444,33.68055555555556,35.995370370370374
3,59.02777777777778,69.79166666666667,73.61111111111111,67.47685185185186
4,32.986111111111114,56.59722222222222,45.138888888888886,44.90740740740741
5,25.0,27.430555555555557,25.34722222222222,25.925925925925924
6,40.97222222222222,48.611111111111114,47.916666666666664,45.833333333333336
7,48.611111111111114,71.875,65.625,62.03703703703704
8,51.388888888888886,69.44444444444444,66.31944444444444,62.38425925925926
9,51.388888888888886,68.75,65.97222222222223,62.03703703703704
Total Mean,44.56018518518519,57.75462962962964,54.32098765432099,52.21193415637861
