Subject,16,32,4,8,Mean
1,66.31944444444444,65.97222222222223,45.486111111111114,55.55555555555556,58.33333333333334
2,34.02777777777778,34.02777777777778,29.86111111111111,34.72222222222222,33.15972222222222
3,63.19444444444444,62.5,53.125,59.375,59.548611111111114
4,48.611111111111114,53.47222222222222,31.59722222222222,43.05555555555556,44.184027777777786
5,43.40277777777778,25.0,25.34722222222222,28.125,30.46875
6,51.041666666666664,47.22222222222222,36.111111111111114,44.09722222222222,44.61805555555556
7,67.01388888888889,65.27777777777777,41.666666666666664,54.166666666666664,57.03124999999999
8,72.22222222222223,67.36111111111111,50.0,56.59722222222222,61.54513888888889
9,69.44444444444444,60.06944444444444,52.083333333333336,54.513888888888886,59.02777777777778
Total Mean,57.25308641975308,53.433641975308646,40.58641975308642,47.80092592592593,49.76851851851852
