Seed,n_filters,Subject,Accuracy
1,4,1,50.34722222222222
1,4,2,28.47222222222222
1,4,3,54.513888888888886
1,4,4,38.19444444444444
1,4,5,36.458333333333336
1,4,6,38.888888888888886
1,4,7,43.40277777777778
1,4,8,48.958333333333336
1,4,9,49.30555555555556
1,8,1,38.541666666666664
1,8,2,25.694444444444443
1,8,3,42.361111111111114
1,8,4,35.416666666666664
1,8,5,27.083333333333332
1,8,6,34.02777777777778
1,8,7,39.236111111111114
1,8,8,41.666666666666664
1,8,9,53.47222222222222
1,16,1,52.083333333333336
1,16,2,33.333333333333336
1,16,3,68.40277777777777
1,16,4,46.52777777777778
1,16,5,25.0
1,16,6,38.888888888888886
1,16,7,64.58333333333333
1,16,8,60.416666666666664
1,16,9,59.02777777777778
1,32,1,50.69444444444444
1,32,2,36.111111111111114
1,32,3,60.416666666666664
1,32,4,44.09722222222222
1,32,5,31.944444444444443
1,32,6,36.80555555555556
1,32,7,52.77777777777778
1,32,8,55.208333333333336
1,32,9,62.5
2,4,1,39.583333333333336
2,4,2,28.125
2,4,3,46.52777777777778
2,4,4,35.763888888888886
2,4,5,26.38888888888889
2,4,6,32.638888888888886
2,4,7,41.31944444444444
2,4,8,40.97222222222222
2,4,9,41.666666666666664
2,8,1,48.263888888888886
2,8,2,33.68055555555556
2,8,3,44.09722222222222
2,8,4,41.31944444444444
2,8,5,28.125
2,8,6,38.888888888888886
2,8,7,52.43055555555556
2,8,8,51.388888888888886
2,8,9,48.958333333333336
2,16,1,68.05555555555556
2,16,2,39.236111111111114
2,16,3,68.75
2,16,4,52.083333333333336
2,16,5,31.25
2,16,6,46.18055555555556
2,16,7,60.06944444444444
2,16,8,67.70833333333333
2,16,9,61.80555555555556
2,32,1,65.97222222222223
2,32,2,36.458333333333336
2,32,3,71.52777777777777
2,32,4,48.958333333333336
2,32,5,26.041666666666668
2,32,6,48.263888888888886
2,32,7,62.15277777777778
2,32,8,65.625
2,32,9,65.27777777777777
3,4,1,42.361111111111114
3,4,2,26.73611111111111
3,4,3,43.05555555555556
3,4,4,34.72222222222222
3,4,5,26.73611111111111
3,4,6,34.72222222222222
3,4,7,42.708333333333336
3,4,8,42.361111111111114
3,4,9,46.52777777777778
3,8,1,53.81944444444444
3,8,2,38.19444444444444
3,8,3,65.97222222222223
3,8,4,46.18055555555556
3,8,5,33.333333333333336
3,8,6,37.84722222222222
3,8,7,51.736111111111114
3,8,8,61.80555555555556
3,8,9,52.083333333333336
3,16,1,57.291666666666664
3,16,2,31.944444444444443
3,16,3,58.68055555555556
3,16,4,43.40277777777778
3,16,5,25.0
3,16,6,41.666666666666664
3,16,7,54.513888888888886
3,16,8,60.06944444444444
3,16,9,63.19444444444444
3,32,1,63.888888888888886
3,32,2,34.02777777777778
3,32,3,68.75
3,32,4,39.583333333333336
3,32,5,34.375
3,32,6,51.388888888888886
3,32,7,63.19444444444444
3,32,8,63.888888888888886
3,32,9,63.19444444444444
