Subject,Baseline,FreqAug,GausAug,Mean
1,64.93055555555556,58.333333333333336,44.791666666666664,56.01851851851851
2,33.333333333333336,33.333333333333336,29.166666666666668,31.944444444444446
3,71.875,66.66666666666667,49.65277777777778,62.73148148148149
4,48.958333333333336,51.736111111111114,36.458333333333336,45.7175925925926
5,43.05555555555556,28.819444444444443,29.166666666666668,33.68055555555556
6,52.43055555555556,54.513888888888886,38.888888888888886,48.61111111111111
7,62.84722222222222,61.111111111111114,45.486111111111114,56.48148148148149
8,70.13888888888889,71.18055555555556,45.833333333333336,62.38425925925927
9,68.05555555555556,63.19444444444444,43.40277777777778,58.21759259259259
Total Mean,57.291666666666664,54.32098765432099,40.316358024691354,50.64300411522634
